**Summary**

Anna Karenina, the beautiful and passionate wife of the high‑ranking Petersburg official Alexey Alexandrovitch Karenin, falls in love with the dashing cavalry officer Count Vronsky. Trapped in a loveless marriage and constrained by the rigid social codes of 1870s Russian aristocracy, Anna abandons her husband and her young son Seryozha to live openly with Vronsky. Initially ecstatic, Anna grows increasingly jealous and isolated as society shuns her and Vronsky’s ardor cools. In parallel, Konstantin Levin, a socially awkward landowner, marries Princess Kitty Shtcherbatskaya after surviving romantic disappointment. Levin struggles with faith, modernity, and the meaning of life, eventually finding spiritual peace. Anna, consumed by paranoia and despair, commits suicide by throwing herself under a train. Vronsky, devastated, volunteers for the war in Servia. Karenin raises Seryozha and Anna’s infant daughter. Levin, having discovered faith through lived experience rather than doctrine, finds joy in his family and daily labor.

---

**Author**

**Leo Tolstoy** (1828–1910) was a Russian novelist, philosopher, and moral thinker, universally regarded as one of the greatest writers in world literature. Born into an old aristocratic family at Yasnaya Polyana, he served as an artillery officer in the Crimean War before embarking on a literary career. His early masterpieces, *War and Peace* (1869) and *Anna Karenina* (1877), established his reputation for unparalleled psychological realism, epic scope, and deep moral seriousness. After completing *Anna Karenina*, Tolstoy underwent a profound spiritual crisis that led him to reject organized religion, private property, and his own earlier works in favor of a radical Christian anarchism. His later writings, including *The Death of Ivan Ilyich* (1886) and *Resurrection* (1899), reflect these beliefs. Tolstoy’s influence on twentieth‑century literature, from James Joyce to Virginia Woolf to Thomas Mann, is immeasurable.

---

**Importance**

*Anna Karenina* is widely considered one of the greatest novels ever written. It is the apotheosis of literary realism—a novel that balances intimate psychological portraiture with sweeping social critique, following multiple characters with symphonic coherence. Its opening sentence (“Happy families are all alike; every unhappy family is unhappy in its own way”) has become proverbial. The novel has inspired countless adaptations, including ballets, operas, films, and television series, and its central character remains one of literature’s most complex, sympathetic, and tragic heroines.

---

**Themes**

- Adultery, jealousy, and the destructive power of passion
- The hypocritical moral codes of aristocratic society
- The tension between individual desire and social obligation
- Family happiness (the Oblonskys, the Levins) versus family destruction (the Karenins)
- Faith, doubt, and the search for life’s meaning
- The contrast between city (artificial, corrupt) and country (authentic, life‑giving)
- Modernity, railroads, industrialization, and their discontents
- Forgiveness, both Christian and human
- Death and the fear of death

---

**Message**

Tolstoy presents no simple moral lesson. Anna is not merely punished for adultery—she is destroyed by a society that tolerates the same infidelity in men (Stiva, Vronsky) but condemns women who transgress. Karenin’s initial Christian forgiveness is portrayed as admirable, yet it fails to save Anna or restore their marriage. Levin’s spiritual journey, culminating not in a creed but in a lived sense of goodness, suggests that meaning comes not from abstract philosophy but from loving others and working the land. The novel ultimately affirms that happiness lies not in romantic passion (which burns out) but in family, labor, and an acceptance of life’s mystery. Yet Anna’s tragedy remains fully tragic: she is not a villain but a woman who wanted to live fully, and was crushed for it.

---

## Phases

The following eight phases correspond exactly to the eight parts of the novel as they appear in the attached text. Each phase is a coherent narrative block with its own rising action and resolution.

| Phase | Title | Chapters | Brief Description |
|-------|-------|----------|-------------------|
| **Phase 1** | The Oblonsky Crisis and Anna’s Arrival | Part 1, Ch 1–34 | Introduces the Oblonsky household in chaos after Stiva’s infidelity. Levin arrives in Moscow, proposes to Kitty, and is refused. Vronsky enters. Anna arrives from Petersburg to reconcile Stiva and Dolly. At a ball, Kitty is humiliated when Vronsky dances with Anna. Anna returns to Petersburg, followed by Vronsky. The phase ends with Anna and Vronsky becoming lovers and Anna’s growing revulsion toward her husband. |
| **Phase 2** | Kitty’s Illness and Levin’s Rural Life | Part 2, Ch 1–35 | Kitty falls ill after her humiliation; the Shtcherbatskys go abroad. Levin returns to his estate, throws himself into farming and the spring. He visits his dying brother Nikolay. Meanwhile, Vronsky’s life in Petersburg continues; he enters a horse race. Anna watches, becomes distraught when Vronsky falls, and confesses her love to Karenin. Anna becomes pregnant. The phase ends with Karenin’s internal struggle and Vronsky’s attempted suicide after Karenin’s forgiveness. |
| **Phase 3** | Levin’s Farming and Spiritual Struggles | Part 3, Ch 1–32 | Levin works on his estate and his book on agriculture. He struggles with the meaning of life and his relationship with the peasants. He receives news that Kitty is abroad. He visits his brother Nikolay again, who is dying. The phase focuses on Levin’s inner development and his gradual recovery from romantic disappointment. |
| **Phase 4** | Confession, Forgiveness, and New Beginnings | Part 4, Ch 1–23 | Anna confesses her affair to Karenin. She falls deathly ill after childbirth; Karenin forgives her and Vronsky. Vronsky, humiliated, attempts suicide. Anna recovers but cannot bear Karenin’s forgiveness. Meanwhile, Levin and Kitty reconcile and marry. The phase contains a double resolution: Anna is forgiven but unchanged; Levin finds happiness. |
| **Phase 5** | Marriage and Life Abroad | Part 5, Ch 1–33 | Levin and Kitty marry and struggle through the difficult early months of marriage. Kitty discovers she is pregnant. Anna and Vronsky travel abroad (Italy, then a German town), then return to Russia. Anna is ostracized by society and unable to see her son Seryozha. The phase deepens the contrast between Levin’s domestic joy and Anna’s increasing isolation. |
| **Phase 6** | Country Life and Growing Tension | Part 6, Ch 1–32 | The Levins spend the summer at Pokrovskoe with Kitty’s family and friends. Dolly visits Anna and Vronsky at Vozdvizhenskoe. Anna’s jealousy of Vronsky intensifies. Levin becomes jealous of a visitor, Veslovsky, but reconciles with Kitty. Anna writes to Karenin asking for a divorce. The phase ends with Anna and Vronsky moving to Moscow. |
| **Phase 7** | The Breakdown and Suicide | Part 7, Ch 1–31 | The Levins are in Moscow for Kitty’s confinement. Levin’s spiritual crisis deepens. Kitty gives birth to a son, Dmitri, but Levin feels no expected joy—only terror and pity. Anna and Vronsky’s relationship deteriorates into daily quarrels. After a final fight, Anna commits suicide by throwing herself under a train. The phase contains the novel’s climax and emotional nadir. |
| **Phase 8** | Aftermath and Levin’s Faith | Part 8, Ch 1–19 | The aftermath of Anna’s death: Vronsky, devastated, volunteers for the war in Servia. Karenin takes custody of Anna’s infant daughter. Levin, still tormented by thoughts of death and meaning, overhears a peasant’s simple faith—“to live for God, for the soul”—and experiences a sudden spiritual awakening. He remains a believer in life, not in doctrine, and finds peace in his family and work. The phase resolves Levin’s spiritual search, offering a counterweight to Anna’s tragedy. |

---

Here is the complete chapter‑by‑chapter table for **Part 1** of *Anna Karenina*, based strictly on the original text you attached. Each chapter is assigned to **Phase 1** (The Oblonsky Crisis and Anna’s Arrival). Titles are short (20–30 characters). Categories follow the Effi Briest template.

---

## Part 1, Chapters 1–34

| Ch | Title | Phase | Category | Summary |
| 35 | The Prince’s Effect | Phase 2 | Int | The prince’s good humor and skepticism restore Kitty’s spirits. She realizes she has been deceiving herself. She is cured not by the waters but by her father’s common sense. The family prepares to return to Russia. Kitty is no longer ill. |

---

## Part 3, Chapters 1–32

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Sergey Ivanovitch in the Country | Phase 3 | Exp | Sergey Ivanovitch Koznishev comes to stay with his brother Levin for a rest. Levin is uncomfortable with his brother’s intellectual attitude toward the peasants. Sergey Ivanovitch sees the country as a place to do nothing; Levin sees it as a field for labor. |
| 2 | A Summer Day | Phase 3 | Exp | It is early June, the turning point of summer. Levin drives with his brother to the meadows. Sergey Ivanovitch admires the beauty of nature; Levin is preoccupied with farm work. They go fishing. |
| 3 | Levin’s Indifference to Public Work | Phase 3 | Int | Sergey Ivanovitch urges Levin to participate in district council work. Levin argues it is useless. He admits he cannot work for the public good because he sees no self‑interest in it. The conversation becomes heated. Levin feels his brother does not understand him. |
| 4 | Levin Decides to Mow | Phase 3 | Int | Levin recalls his pleasure in mowing with the peasants. Despite his brother’s possible disapproval, he decides to mow with them the next day. He tells his bailiff to prepare his scythe. |
| 5 | Mowing with the Peasants | Phase 3 | Exp | Levin joins the mowers in the meadow. He struggles at first but gradually finds rhythm. He works alongside an old peasant who is cheerful and skilled. Levin feels the bliss of physical labor and forgets his troubles. |
| 6 | The Joy of Labor | Phase 3 | Int | After mowing, Levin returns home exhausted but happy. Sergey Ivanovitch is amused by his brother’s enthusiasm. Levin talks of his day with pleasure. He feels that physical work is an effective remedy for foolish thoughts. |
| 7 | Dolly in the Country | Phase 3 | Exp | Dolly has moved to Ergushovo, her dowry estate, to cut expenses. The house is dilapidated. She struggles with household management. Her old nurse, Marya Philimonovna, helps her organize things. |
| 8 | Dolly’s Children | Phase 3 | Exp | Dolly takes her children to church for communion. The children are charming but unruly. On the way home, they pick mushrooms and go bathing. Dolly talks with peasant women and feels a connection with their lives. |
| 9 | Levin Visits Dolly | Phase 3 | Comp | Levin meets Dolly on the road. He walks with her and the children. They talk about Kitty. Dolly tells Levin that Kitty is ill and abroad. Levin is moved but says he cannot think of her. He feels his pride has been wounded. |
| 10 | Dolly Defends Kitty | Phase 3 | Int | Dolly tells Levin that Kitty was in doubt between him and Vronsky when she refused him. She suggests Kitty might have chosen differently if she had known Vronsky better. Levin says the past cannot be repeated. He leaves feeling both hope and pain. |
| 11 | Trouble with the Hay | Phase 3 | Comp | A village elder reports that the hay on Levin’s sister’s estate has been divided unfairly. Levin drives over to investigate. He finds the peasants have cheated him. He argues with them and resolves the matter. |
| 12 | Levin Envies the Peasants | Phase 3 | Int | After settling the dispute, Levin watches the peasants at work. He envies their health, their merry labor, and their simple life. He dreams of renouncing his own artificial life and living as they do. He walks home through the night, full of new resolve. |
| 13 | Levin Sees Kitty Again | Phase 3 | Turn | Walking home before dawn, Levin sees a carriage approaching. Inside is Kitty. She recognizes him and her face lights up with delight. All his resolutions vanish. He realizes he still loves her. |
| 14 | Karenin’s Weakness | Phase 3 | Int | Karenin cannot bear to see children or women crying. After Anna’s confession, he felt relief and even pity for her and Vronsky. He decides to keep the family together, concealing the affair, and to punish Anna by maintaining outward propriety. |
| 15 | Karenin Writes to Anna | Phase 3 | Comp | Karenin writes Anna a cold letter in French. He informs her that he will not break the marriage tie, that she must return to Petersburg, and that he expects her to end her affair. He encloses money for expenses. |
| 16 | Anna Reads the Letter | Phase 3 | Int | Anna receives Karenin’s letter. She is horrified by his coldness and his threat to take her son. She feels trapped and sees no way out. She cries in despair, realizing she cannot escape her position. |
| 17 | Anna Decides to Go Out | Phase 3 | Comp | Anna decides to go to Princess Betsy’s, hoping to see Vronsky. She writes a brief answer to Karenin. She dresses and leaves. She is determined to act, though she does not know what she will do. |
| 18 | At Betsy’s | Phase 3 | Comp | Anna arrives at Betsy’s. She meets Liza Merkalova and other fashionable guests. The conversation is light and worldly. Anna is agitated but maintains composure. She sends a note to Vronsky through Betsy, asking him to meet her. |
| 19 | Anna Leaves Early | Phase 3 | Int | Anna decides to leave Betsy’s early. She feels the falsity of society. She goes home, still uncertain. She thinks of her son and her husband. She feels a strange turmoil in her soul. |
| 20 | Vronsky’s Financial Reckoning | Phase 3 | Int | Vronsky has a habit of periodically settling his affairs. He reviews his debts and finds he needs six thousand roubles. He decides to borrow money and sell his race horses. He writes a cold reply to his mother. |
| 21 | Vronsky’s Code of Honor | Phase 3 | Int | Vronsky lives by a strict code of principles that defines what he ought and ought not to do. His relations with Anna and Karenin are clear to him: he must respect Anna and be prepared to fight a duel. But her pregnancy introduces new complications. |
| 22 | Vronsky Meets Serpuhovskoy | Phase 3 | Exp | Vronsky meets his old friend Serpuhovskoy, a successful general. Serpuhovskoy advises Vronsky to marry and settle down. He says women are the chief obstacle to a man’s career. Vronsky thinks of Anna. |
| 23 | Vronsky Receives Anna’s Note | Phase 3 | Comp | Vronsky receives a note from Anna asking him to meet her at the Vrede garden. He goes immediately. He finds her there. She tells him she has confessed everything to Karenin. He is shocked but feels the inevitability of a duel. |
| 24 | Anna’s Despair | Phase 3 | Int | Anna tells Vronsky that Karenin will not give her a divorce and that she cannot leave her son. Vronsky urges her to leave her husband anyway. She feels trapped. They agree to meet again. She drives home, knowing nothing has changed. |
| 25 | Karenin’s Triumph | Phase 3 | Comp | Karenin wins a victory at a government commission meeting. He returns home in good spirits. Anna arrives. He tells her he will ignore her confession as long as the world knows nothing. She says she cannot be his wife. He laughs coldly. |
| 26 | Levin at Sviazhsky’s | Phase 3 | Exp | Levin visits his friend Sviazhsky, a marshal of the district. Sviazhsky is an advanced liberal who lives in contradiction to his own beliefs. Levin finds him puzzling. They discuss agriculture and the labor question. |
| 27 | A Landowner’s Complaints | Phase 3 | Dig | An irascible landowner complains that the emancipation of the serfs has ruined agriculture. He argues that authority is needed to control the peasants. Levin listens, interested. The landowner says the only thing that works is the old patriarchal system. |
| 28 | Levin’s New Idea | Phase 3 | Int | Levin is struck by a new idea: the laborer must be made interested in the success of the work. He thinks of forming a cooperative association with his peasants. He returns home excited, determined to revolutionize his farming. |
| 29 | Levin Implements His Plan | Phase 3 | Comp | Levin tries to put his new plan into practice. The peasants are skeptical and resist change. He succeeds in forming a few partnerships, but the results are mixed. The peasants do not fully understand or trust him. |
| 30 | Levin Reads and Reflects | Phase 3 | Int | Levin reads books on political economy and socialism but finds nothing that applies to Russia. He believes the Russian peasant has a unique relationship to the land. He decides to go abroad to study land systems. |
| 31 | Nikolay’s Return | Phase 3 | Comp | Levin’s brother Nikolay arrives at Pokrovskoe. He is even more emaciated and ill than before. He talks of going into government service. Levin is tormented by his brother’s suffering and the thought of death. |
| 32 | Levin and Nikolay | Phase 3 | Int | Levin and Nikolay spend the evening together. Nikolay is irritable and attacks Levin’s farming ideas. They argue, then Nikolay decides to leave. At parting, Nikolay says, “Don’t remember evil against me.” Levin weeps. |

---

## Part 4, Chapters 1–23

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Three Miserable People | Phase 4 | Exp | The Karenins continue living in the same house but are strangers. Anna sees Vronsky away from home. All three endure the position, each hoping something will change. Karenin hopes the passion will pass; Anna believes something will turn up; Vronsky follows her lead. |
| 2 | Vronsky’s Boredom | Phase 4 | Exp | Vronsky is put in charge of a visiting foreign prince. He finds the duties irksome. The prince is stupid and self‑satisfied. Vronsky sees himself in the prince and is disgusted. He is relieved when the prince leaves. |
| 3 | Anna’s Illness | Phase 4 | Comp | Anna writes to Vronsky that she is ill and cannot come out. He goes to her. On the stairs he meets Karenin. Anna tells Vronsky she is pregnant. He urges her to leave her husband. She is afraid of losing her son. |
| 4 | Anna’s Dream | Phase 4 | Int | Anna tells Vronsky about a recurring nightmare: a peasant rummaging in a sack, speaking French. The dream terrifies her. She believes she will die in childbirth. Vronsky tries to reassure her, but he too feels uneasy. |
| 5 | Karenin’s Decision | Phase 4 | Int | Karenin decides to go to Petersburg to attend to official business. He tells Anna he will not return to the house. He plans to obtain a divorce and take Seryozha. Anna begs him to leave her son. He refuses and leaves. |
| 6 | Karenin Visits a Lawyer | Phase 4 | Comp | Karenin consults a celebrated Petersburg lawyer about divorce. The lawyer explains the legal procedures. He suggests “adultery by mutual consent” as the simplest method. Karenin is uncomfortable with the implications but agrees to consider it. |
| 7 | Stiva Invites Karenin | Phase 4 | Comp | Karenin is in Moscow. Stiva meets him and insists he come to dinner. Karenin reluctantly agrees. Stiva also invites Levin and his brother Sergey Ivanovitch. The dinner is planned to include both Karenin and Koznishev. |
| 8 | Karenin’s Coldness | Phase 4 | Int | Karenin tells Stiva he cannot dine with them because he is beginning divorce proceedings against Anna. Stiva is horrified and begs him to talk to Dolly first. Karenin reluctantly agrees to come to dinner. |
| 9 | Dinner at the Oblonskys’ | Phase 4 | Exp | The dinner party takes place. Guests include Levin, Kitty, Karenin, Koznishev, and others. The conversation ranges over politics, education, and women’s rights. Levin and Kitty sit together and communicate in secret code. |
| 10 | Women’s Rights Debate | Phase 4 | Dig | Pestsov argues about women’s education and rights. Karenin and Koznishev debate classical versus scientific education. The old prince jokes that women’s long hair signifies short wits. The conversation is lively but inconclusive. |
| 11 | Levin and Kitty’s Code | Phase 4 | Int | Levin and Kitty write letters on the table with chalk. He asks if her refusal meant “never” or “then.” She writes that she could not answer differently then. He writes that he has never ceased to love her. She understands. They are engaged. |
| 12 | Levin’s Happiness | Phase 4 | Int | After the engagement, Levin is in a daze of happiness. He accompanies his brother to a meeting, then to Sviazhsky’s for tea. He talks to the servant Yegor about love and marriage. He cannot sleep for joy. |
| 13 | Levin Proposes Again | Phase 4 | Turn | Levin goes to the Shtcherbatskys’ house early in the morning. Kitty runs to him. They embrace. The princess and prince give their blessing. Levin and Kitty are engaged. |
| 14 | Wedding Preparations | Phase 4 | Exp | The princess insists the wedding must be before Lent. Levin agrees to everything. He must go to confession, which he finds awkward as an unbeliever. He goes through the ceremony, feeling it is false but necessary. |
| 15 | Levin’s Confession | Phase 4 | Int | Levin confesses to a priest. He admits he doubts everything, even the existence of God. The priest counsels him to pray. Levin leaves feeling relieved that he did not have to lie. He still feels something unclear in his soul. |
| 16 | The Wedding Day | Phase 4 | Res | The wedding takes place. Levin is nervous and nearly late because he forgot a clean shirt. Kitty is beautiful in her white dress. The ceremony is solemn and moving. Levin feels a new, strange closeness to her. |
| 17 | Vronsky’s Shame | Phase 4 | Int | After Anna’s confession and Karenin’s forgiveness, Vronsky feels humiliated and worthless. He attempts suicide by shooting himself in the chest. He survives. His brother’s wife, Varya, nurses him. |
| 18 | Karenin’s Forgiveness | Phase 4 | Int | Karenin, at Anna’s sickbed, forgives her and Vronsky. He experiences a new spiritual peace. He becomes fond of Anna’s newborn daughter. He feels that a brutal force in society will not allow him to remain in this state. |
| 19 | Karenin’s Dilemma | Phase 4 | Int | Anna’s baby daughter falls ill. Karenin is told that Princess Betsy is visiting Anna. He overhears Anna say she does not want to see Vronsky. He feels helpless, knowing society expects him to act but he does not know how. |
| 20 | Betsy Intervenes | Phase 4 | Comp | Betsy tries to persuade Karenin to let Vronsky see Anna before he leaves for Tashkend. Karenin says the decision is Anna’s. He feels his dignity is gone. |
| 21 | Anna’s Irritation | Phase 4 | Int | Anna is irritable with Karenin. She blames him for not letting her nurse the baby. She wishes she had died. Karenin realizes the impossibility of his position. He feels everyone expects something of him. |
| 22 | Stiva Intercedes | Phase 4 | Comp | Stiva visits Anna and tries to comfort her. He argues that divorce is the only solution. Anna says she cannot accept Karenin’s generosity. Stiva goes to speak with Karenin. |
| 23 | Karenin Consents | Phase 4 | Turn | Stiva persuades Karenin to agree to a divorce. Karenin says he will take the disgrace on himself and give up his son. Stiva is touched. Anna and Vronsky prepare to go abroad. Karenin is left alone with Seryozha. |

---

## Part 5, Chapters 1–33

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Levin Before the Wedding | Phase 5 | Int | Levin is in a deliriously happy state before the wedding. He agrees to everything suggested to him. He goes to confession despite his doubts. He feels a vague unease about religion. |
| 2 | The Wedding | Phase 5 | Res | The wedding ceremony takes place. Levin and Kitty are married. The service is solemn and beautiful. Levin feels a new, strange closeness to Kitty. They leave for the country after supper. |
| 3 | Vronsky and Anna Abroad | Phase 5 | Exp | Vronsky and Anna have been traveling in Europe for three months. They are in a small Italian town. Vronsky meets an old friend, Golenishtchev, who is writing a book. Anna is charming and at ease. |
| 4 | Vronsky Paints | Phase 5 | Exp | Anna is happy and full of the joy of life. She rarely thinks of her husband or her son. Vronsky, however, feels boredom. He takes up painting and begins a portrait of Anna in Italian costume. |
| 5 | Vronsky’s Art | Phase 5 | Exp | Vronsky and Anna visit the Russian artist Mihailov to see his picture of “Christ before Pilate.” Golenishtchev accompanies them. Mihailov is poor, irritable, and proud. They admire his work. |
| 6 | Mihailov’s Portrait | Phase 5 | Exp | Mihailov agrees to paint Anna’s portrait. He captures her characteristic beauty. Vronsky is impressed. He realizes Mihailov has seen something in Anna he himself missed. Mihailov finds the dilettanti tiresome. |
| 7 | Boredom in Italy | Phase 5 | Exp | Vronsky’s interest in painting fades. Life in Italy becomes tedious. They decide to return to Russia. Vronsky will go to Petersburg to arrange a partition of land with his brother. Anna will see her son. |
| 8 | Levin’s Married Life | Phase 5 | Int | Levin is happy but not as he expected. Married life is full of petty cares and quarrels. He learns that his wife has her own will and needs. Their first quarrel shocks him. He realizes she is part of himself. |
| 9 | Kitty’s Household | Phase 5 | Exp | Kitty busies herself with arranging the house. Levin is amused by her domestic concerns. Their life together gradually becomes smoother. They are happy but still learning each other. |
| 10 | Levin Writes | Phase 5 | Int | Levin works on his book about agriculture. Kitty sews nearby. They are content. Levin feels his work is no longer the center of his life; his family is. |
| 11 | News of Nikolay | Phase 5 | Comp | Levin receives a letter from Marya Nikolaevna saying that his brother Nikolay is dying. He decides to go to him immediately. Kitty insists on coming with him. Levin is reluctant but agrees. |
| 12 | Levin and Kitty Travel | Phase 5 | Comp | Levin and Kitty travel to the provincial town where Nikolay lies ill. They find him in a dirty hotel room. Kitty immediately begins to care for him. Levin is overwhelmed by his brother’s suffering. |
| 13 | At Nikolay’s Bedside | Phase 5 | Int | Kitty takes charge of nursing Nikolay. She cleans the room, changes his linen, and comforts him. Levin is amazed at her practical kindness. Nikolay is calmed by her presence. |
| 14 | Nikolay’s Suffering | Phase 5 | Int | Nikolay’s condition worsens. He is in constant pain. Kitty and Levin take turns watching over him. Levin feels helpless and terrified by death. Kitty seems to know what to do without thinking. |
| 15 | Nikolay’s Death | Phase 5 | Res | Nikolay receives the sacrament and extreme unction. He seems briefly better, then declines. He dies peacefully. Levin is horrified by death but feels love saving him from despair. Kitty learns she is pregnant. |
| 16 | Anna in Petersburg | Phase 5 | Comp | Anna returns to Petersburg. She longs to see her son Seryozha. She writes to Countess Lidia Ivanovna, asking permission. Lidia Ivanovna refuses, saying it would upset the boy. Anna is humiliated and enraged. |
| 17 | Anna Sees Seryozha | Phase 5 | Turn | On Seryozha’s birthday, Anna goes to Karenin’s house early in the morning. She bribes the porter and sneaks in. She finds Seryozha in bed. They embrace joyfully. Karenin arrives; Anna flees. |
| 18 | Anna’s Anguish | Phase 5 | Int | After seeing Seryozha, Anna is devastated. She returns to the hotel. She feels her love for her son is the only real thing in her life. She decides she must take action to secure her relationship with him. |
| 19 | Vronsky’s Return | Phase 5 | Comp | Vronsky returns from his brother’s. He finds Anna agitated. She tells him about seeing Seryozha. Vronsky is disturbed by her emotional state. They argue about their future. |
| 20 | Anna at the Opera | Phase 5 | Comp | Anna goes to the opera despite Vronsky’s objections. In the theater, Madame Kartasova publicly insults her, saying it is a disgrace to sit beside her. Anna is humiliated. She leaves in tears. |
| 21 | Anna’s Resolve | Phase 5 | Int | After the opera humiliation, Anna tells Vronsky she hates his calm. She accuses him of not loving her. He assures her he does. They reconcile and leave for the country. |
| 22 | Life at Vozdvizhenskoe | Phase 5 | Exp | The Levins spend the summer at Pokrovskoe with Kitty’s family. Levin regrets the influx of the “Shtcherbatsky element.” Dolly and her children come to stay. Sergey Ivanovitch is also there. |
| 23 | Varenka Arrives | Phase 5 | Exp | Varenka, Kitty’s friend from abroad, comes to stay. Sergey Ivanovitch shows interest in her. Kitty hopes they will marry. The household is full of visitors. |
| 24 | Mushroom Picking | Phase 5 | Dig | The party goes mushroom picking. Sergey Ivanovitch walks with Varenka. He admires her. He considers proposing but asks instead about mushroom differences. The moment passes. He decides to remain faithful to his dead love. |
| 25 | Veslovsky’s Arrival | Phase 5 | Comp | Stiva arrives with Vassenka Veslovsky, a young, handsome, cheerful cousin. Levin is immediately jealous of Veslovsky’s attention to Kitty. He becomes gloomy and irritable. |
| 26 | Levin’s Jealousy | Phase 5 | Int | Levin’s jealousy grows. He sees Veslovsky’s looks at Kitty as flirtation. He tells Kitty he is wounded and humiliated. She reassures him of her love. He decides to be civil to Veslovsky. |
| 27 | Shooting with Veslovsky | Phase 5 | Exp | Levin, Stiva, and Veslovsky go shooting. Veslovsky is clumsy and excitable. Levin is annoyed but tries to be friendly. They stay overnight at a peasant’s hut. |
| 28 | Night in the Hay | Phase 5 | Dig | The men sleep in a hay barn. Veslovsky goes off to flirt with peasant girls. Levin lies awake, thinking about Kitty and his jealousy. He resolves to be more manly. |
| 29 | Levin Sends Veslovsky Away | Phase 5 | Turn | Levin wakes early, goes shooting, and returns to find Veslovsky flirting with Kitty. Levin tells Veslovsky to leave. Veslovsky is offended but goes. Stiva is amused; Kitty is upset but understands. |
| 30 | Dolly Visits Anna | Phase 5 | Comp | Dolly decides to visit Anna at Vozdvizhenskoe. Levin lends her horses. She travels there. On the way, she thinks about her own unhappy marriage and Anna’s situation. |
| 31 | Dolly Arrives | Phase 5 | Exp | Dolly arrives at Vronsky’s estate. Anna is overjoyed to see her. Vronsky is courteous. Dolly is struck by Anna’s beauty and the luxury of the house. She feels both admiration and unease. |
| 32 | Dolly with Anna | Phase 5 | Int | Anna shows Dolly the house and her daughter Annie. They talk about the past. Anna admits she is happy but fears the future. Dolly senses something wrong. |
| 33 | Vronsky’s Confession | Phase 5 | Int | Vronsky tells Dolly that he wants Anna to write to Karenin asking for a divorce. He cannot bear that his daughter is legally a Karenin. Dolly promises to persuade Anna. |

---

## Part 6, Chapters 1–32

| Ch | Title | Phase | Category | Summary |
|----|-------|-------|----------|---------|
| 1 | Summer at Pokrovskoe | Phase 6 | Exp | Dolly and her children spend the summer at the Levins’. The house is full of guests: the old princess, Varenka, and others. Levin feels his own family spirit is drowned by the “Shtcherbatsky element.” |
| 2 | Jam‑Making | Phase 6 | Dig | The ladies make jam on the terrace. Kitty and Dolly discuss Sergey Ivanovitch and Varenka. Kitty hopes Sergey Ivanovitch will propose to Varenka. The conversation is light and domestic. |
| 3 | Levin and Kitty Walk | Phase 6 | Int | Levin and Kitty walk alone in the forest. They talk about Sergey Ivanovitch and Varenka. Levin thinks his brother is too spiritual for marriage. Kitty disagrees. They are happy together. |
| 4 | Sergey Ivanovitch’s Decision | Phase 6 | Int | Sergey Ivanovitch walks with Varenka in the forest. He wants to propose but instead asks a trivial question about mushrooms. The moment passes. He decides he cannot be false to the memory of his first love. |
| 5 | The Proposal That Wasn’t | Phase 6 | Int | Kitty sees that Sergey Ivanovitch did not propose. She is disappointed. Varenka is calm. Kitty tells Levin that “it didn’t bite.” Levin laughs. Everyone pretends nothing happened. |
| 6 | Stiva Arrives with Veslovsky | Phase 6 | Comp | Stiva arrives with Vassenka Veslovsky, a cheerful young cousin. Levin is immediately jealous of Veslovsky’s attention to Kitty. He becomes gloomy and irritable. The evening is tense. |
| 7 | Levin’s Jealousy | Phase 6 | Int | Levin’s jealousy grows. He sees Veslovsky’s looks at Kitty as flirtation. He tells Kitty he is wounded and humiliated. She reassures him of her love. He decides to be civil to Veslovsky. |
| 8 | Shooting with Veslovsky | Phase 6 | Exp | Levin, Stiva, and Veslovsky go shooting. Veslovsky is clumsy and excitable. Levin is annoyed but tries to be friendly. They stay overnight at a peasant’s hut. |
| 9 | The Drive to the Marsh | Phase 6 | Exp | They drive to a larger marsh. Veslovsky accidentally fires his gun in the carriage. They shoot snipe. Levin misses several shots and is frustrated. Stiva shoots well. |
| 10 | Overnight in the Hay | Phase 6 | Dig | The men sleep in a hay barn. Veslovsky goes off to flirt with peasant girls. Levin lies awake, thinking about Kitty and his jealousy. He resolves to be more manly. |
| 11 | Levin Sends Veslovsky Away | Phase 6 | Turn | Levin wakes early, goes shooting, and returns to find Veslovsky flirting with Kitty. Levin tells Veslovsky to leave. Veslovsky is offended but goes. Stiva is amused; Kitty is upset but understands. |
| 12 | Dolly Visits Anna | Phase 6 | Comp | Dolly decides to visit Anna at Vozdvizhenskoe. Levin lends her horses. She travels there. On the way, she thinks about her own unhappy marriage and Anna’s situation. |
| 13 | Dolly Arrives | Phase 6 | Exp | Dolly arrives at Vronsky’s estate. Anna is overjoyed to see her. Vronsky is courteous. Dolly is struck by Anna’s beauty and the luxury of the house. She feels both admiration and unease. |
| 14 | Dolly Tours the Estate | Phase 6 | Exp | Vronsky shows Dolly the hospital he is building. He is proud of his work. Dolly is impressed by his energy and good nature. She understands why Anna loves him. |
| 15 | Dolly and Anna Talk | Phase 6 | Int | Anna and Dolly have a long, intimate conversation. Anna says she does not want more children because they would be illegitimate. She admits she is happy but fears Vronsky’s cooling love. |
